Species Common Name,Scientific Name,Taxon Class,Overall Sample Size,Overall MLE,Male Sample Size,Male MLE,Female Sample Size,Female MLE
Kinkajou,Potos flavus,Mammalia,418,25.3,190,26.9,219,23.8
"Kiwi, North Island Brown",Apteryx australis mantelli,Aves,128,12.6,70,17.7,58,10
Klipspringer,Oreotragus oreotragus,Mammalia,163,8.7,79,7.9,84,9.3
"Koala, Queensland",Phascolarctos cinereus adustus,Mammalia,206,10.2,108,10.1,98,10.4
"Kob, Uganda",Kobus kob thomasi,Mammalia,282,7.3,124,5.5,155,9.2
"Kookaburra, Laughing",Dacelo novaeguineae,Aves,706,16.8,350,17.2,322,16.6
"Kudu, Greater",Tragelaphus strepsiceros,Mammalia,1595,8.4,649,6.8,944,9.5
"Langur, Francois'",Trachypithecus francoisi francoisi,Mammalia,176,14.9,84,14.6,92,15.1
"Langur, Silvered Leaf",Trachypithecus cristatus ultimus,Mammalia,161,8.9,67,9.6,94,8.6
"Lapwing, Masked",Vanellus miles,Aves,167,12.5,74,8,90,13.7
"Lapwing, Spur-winged",Vanellus spinosus,Aves,525,5.9,163,6.3,200,5.7
"Laughingthrush, White-crested",Garrulax leucolophus,Aves,178,15,91,17.3,81,14.5
"Lechwe, Nile",Kobus megaceros,Mammalia,575,9.1,268,9,307,9.2
"Lechwe, Red",Kobus leche,Mammalia,472,7.6,207,7,264,7.8
"Leiothrix, Red-billed",Leiothrix lutea,Aves,244,7.8,117,9.7,117,6.4
"Lemur, Black and White Ruffed",Varecia variegata,Mammalia,631,18.5,349,19.3,277,17.8
"Lemur, Collared",Eulemur collaris,Mammalia,83,23.4,44,23.4,39,21.5
"Lemur, Gray Mouse",Microcebus murinus,Mammalia,297,8.7,153,8.7,144,8.7
"Lemur, Mongoose",Eulemur mongoz,Mammalia,161,22.8,83,25.1,78,22.3
"Lemur, Red Ruffed",Varecia rubra,Mammalia,426,19.9,241,20.7,185,18.6
"Lemur, Ring-tailed",Lemur catta,Mammalia,2043,16.5,1043,16.5,944,16.5
"Leopard, Amur",Panthera pardus orientalis,Mammalia,196,18.2,93,17.7,103,18.5
"Leopard, Clouded",Neofelis nebulosa,Mammalia,401,13.1,213,13.1,188,13.4
"Leopard, Snow",Unica unica,Mammalia,584,15.2,287,14.8,296,15.3
Lion,Panthera leo,Mammalia,1232,16.9,556,16.6,672,17.2
"Lizard, Chinese Crocodile",Shinisaurus crocodilurus,Reptilia,271,12.2,116,13.4,99,11.4
"Lizard, Rio Fuerte Beaded",Heloderma horridum exasperatum�,Reptilia,887,24.2,235,28.2,222,22.5
"Loris, Pygmy",Nycticebus pygmaeus,Mammalia,167,12.4,85,12.2,81,13
